titulo_eleitor,candidato_id,eleitor,sexo,cidade,data_voto
,10,Maria Sophia Pires,F,Porto do Norte,2026-05-11 14:01:17
298890840079,15,thales barros,m,Araújo da Serra,2026-04-17 15:02:17
,36,Dr. Thomas Viana,MASC,Cunha,2026-04-23 20:03:17
246395562987,73,Rafael Freitas,M,da Rosa da Serra,2026-04-14 12:0:17
747530436274,36,dr. luiz fernando melo,masculino,Lopes,2026-04-08 06:07:17
539540339850,51,Cecília da Mata,FEM,Lima,2026-05-08 04:09:17
743420379160,2,Luiz Otávio Azevedo,M,Barros das Flores,2026-04-14 07:23:17
142150564842,55,Emilly Viana,F,Pereira Alegre,2026-04-13 03:28:17
553369732191,57,Sr. Murilo Teixeira,Masc,Porto Paulista,2026-04-23 21:20:17
483457935810,47,Maria Alice Novaes,Feminino,Oliveira,2026-04-27 22:26:17
469921349408,28,Melissa da Mata   ,f,Azevedo,2026-04-29 13:50:17
278137716554,3,Valentina Melo,NULL,Cardoso da Serra,2026-05-05 14:57:17
562497905482,58,Carolina Carvalho,FEMININO,Cardoso,2026-04-16 15:59:17
524980945994,23,Arthur Freitas,M,Gonçalves de da Mata,2026-05-02 16:54:17
792902969962,79,Dra. Julia Nogueira,F,Gonçalves de Correia,2026-05-12 17:50:17
348822089196,27,João Nascimento,masc,Cardoso de Araújo,2026-04-21 17:28:17
610226814086,38,Antônio Ferreira,M,Martins do Amparo,2026-04-27 16:26:17
780931949170,14,Srta. Emanuelly Fogaça,F,Sales dos Dourados,2026-05-05 15:24:17
585436665537,5,Lavínia Santos,fem,Moraes,2026-04-14 13:23:17
992225860442,12,Diogo Porto,MASCULINO,Barros de Lima,2026-04-25 11:28:17
110630589880,75,Isabella Castro   ,F,Moura da Prata,2026-05-04 12:47:17
704936423477,23,Daniel Azevedo,m,da Cunha do Campo,2026-05-04 20:40:17
773528511786,66,Dr. Fernando Gomes   ,Masculino,Carvalho,2026-05-11 21:44:17
,67,Ana Julia Carvalho,FEM,Fogaça do Sul,2026-05-08 22:42:17
459591934205,53,Theo Ferreira,M,Cavalcanti,2026-04-17 23:12:17
447062366770,46,Lucca Castro,M,da Mata da Mata,2026-04-30 07:16:17
834457445494,32,Ryan Freitas,NULL,Pinto do Sul,2026-04-14 08:19:17
472265479294,80,Alexia Costa,F,Ferreira,2026-04-28 09:16:17
429076916610,32,Srta. Maria Fernanda Oliveira,F,Barbosa,2026-04-17 10:13:17
531126811277,15,Manuela da Paz,FEMININO,Barbosa do Oeste,2026-04-20 12:06:17
321995403351,66,Bárbara Gomes,F,Silveira de da Mata,2026-04-15 13:01:17
448784763926,21,João Guilherme Nogueira,M,Rocha da Serra,2026-05-10 14:04:17
875442106535,6,Dra. Maria Eduarda Vieira,F,Nunes,2026-04-15 16:04:17
133443313861,49,rafael costela,masculino,Aragão,2026-04-14 17:07:17
266027272831,72,Nathan Sales,M,Barros,2026-04-23 18:03:17
156877164670,9999,Luigi Jesus,,Vieira do Norte,2026-04-13 19:00:17
394006298407,9999,Sra. Maria Luiza da Costa,F,Dias,2026-04-21 20:34:17
833869928746,57,Yuri Araújo,NULL,Oliveira,2026-04-25 20:37:17
355953844578,24,Sr. Erick Novaes,M,Lopes,2026-05-05 20:39:17
829392636375,7,Dr. Vinicius Cunha,Masc,Oliveira,2026-05-11 07:36:17
448784763926,21,João  Nogueira,M,Rocha da Serra,2026-05-10 07:34:17
NULL,55,Viana,F,Pereira Alegre,2026-04-13 12:30:17
553369732191,57,Sr. Murilo Teixeira,Masc,Porto Paulista,2026-04-23 12:38:17
NULL,9999,Luigi Jesus,,Vieira do Norte,2026-04-13 12:38:17
