titulo_eleitor,candidato_id,eleitor,cidade,data_voto
,10,Maria Sophia Pires,Porto do Norte,2026-05-11 18:41:17
298890840079,15,thales barros,Araújo da Serra,2026-04-17 18:41:17
,36,Dr. Thomas Viana,Cunha,2026-04-23 18:41:17
246395562987,73,Rafael Freitas,da Rosa da Serra,2026-04-14 18:41:17
747530436274,36,dr. luiz fernando melo,Lopes,2026-04-18 18:41:17
539540339850,51,Cecília da Mata,Lima,2026-05-08 18:41:17
743420379160,2,Luiz Otávio Azevedo,Barros das Flores,2026-04-14 18:41:17
142150564842,55,Emilly Viana,Pereira Alegre,2026-04-13 18:41:17
553369732191,57,Sr. Murilo Teixeira,Porto Paulista,2026-04-23 18:41:17
483457935810,47,Maria Alice Novaes,Oliveira,2026-04-27 18:41:17
469941349408,28,Melissa da Mata   ,Azevedo,2026-04-29 18:41:17
278137716541,3,Valentina Melo,Cardoso da Serra,2026-05-05 18:41:17
562497905482,58,Carolina Carvalho,Cardoso,2026-04-16 18:41:17
414980945994,23,Arthur Freitas,Gonçalves de da Mata,2026-05-02 18:41:17
792902969962,79,Dra. Julia Nogueira,Gonçalves de Correia,2026-05-12 18:41:17
348824189186,27,João Nascimento,Cardoso de Araújo,2026-04-21 18:41:17
610226814086,38,Antônio Ferreira,Martins do Amparo,2026-04-27 18:41:17
780931949170,14,Srta. Emanuelly Fogaça,Sales dos Dourados,2026-05-05 18:41:17
585436665537,5,Lavínia Santos,Moraes,2026-04-14 18:41:17
992415860442,12,Diogo Porto,Barros de Lima,2026-04-25 18:41:17
118630589880,75,Isabella Castro   ,Moura da Prata,2026-05-04 18:41:17
704936423477,23,Daniel Azevedo,da Cunha do Campo,2026-05-04 18:41:17
773528511786,66,Dr. Fernando Gomes   ,Carvalho,2026-05-11 18:41:17
,67,Ana Julia Carvalho,Fogaça do Sul,2026-05-08 18:41:17
459591934205,53,Theo Ferreira,Cavalcanti,2026-04-17 18:41:17
447182366770,46,Lucca Castro,da Mata da Mata,2026-04-30 18:41:17
834457445494,32,Ryan Freitas,Pinto do Sul,2026-04-14 18:41:17
472265479294,80,Alexia Costa,Ferreira,2026-04-28 18:41:17
429076916610,32,Srta. Maria Fernanda Oliveira,Barbosa,2026-04-17 18:41:17
531826811277,41,Manuela da Paz,Barbosa do Oeste,2026-04-20 18:41:17
321995403351,66,Bárbara Gomes,Silveira de da Mata,2026-04-15 18:41:17
448784763926,21,João Guilherme Nogueira,Rocha da Serra,2026-05-10 18:41:17
875442106535,6,Dra. Maria Eduarda Vieira,Nunes,2026-04-18 18:41:17
133443313861,49,rafael costela,Aragão,2026-04-14 18:41:17
266027272831,72,Nathan Sales,Barros,2026-04-23 18:41:17
156877164670,9999,Luigi Jesus,Vieira do Norte,2026-04-13 18:41:17
394006298407,9999,Sra. Maria Luiza da Costa,Dias,2026-04-21 18:41:17
833869928746,57,Yuri Araújo,Oliveira,2026-04-25 18:41:17
355953844578,24,Sr. Erick Novaes,Lopes,2026-05-05 18:41:17
829392636375,7,Dr. Vinicius Cunha,Oliveira,2026-05-11 18:41:17
594221453950,25,gabrielly da mota,Ribeiro do Galho,2026-05-10 18:41:17
796653366730,1,Dr. Lucca Azevedo   ,Freitas da Praia,2026-05-04 18:41:17
,73,Luiz Henrique Barbosa,Castro de Cavalcanti,2026-04-21 18:41:17
407059104435,30,Bárbara da Mota,da Rocha,2026-04-22 18:41:17
827280057964,44,Caio Nogueira,Duarte,2026-04-26 18:41:17
952009813154,26,Alexandre Porto,Moreira,2026-04-25 18:41:17
748567875424,18,Ana Lívia Araújo,Pires,2026-04-15 18:41:17
392773078945,62,Paulo Gomes,da Rocha do Oeste,2026-05-12 18:41:17
